component_name;replacement_name;comment;sourec_url
@ionic/angular;ionic;;
@ionic/vue;ionic;;
@ionic/react;ionic;;

@ionic-native/abbyy-rtr;ionic-native;;
@ionic-native/action-sheet;ionic-native;;
@ionic-native/adjust;ionic-native;;
@ionic-native/admob;ionic-native;;
@ionic-native/admob-free;ionic-native;;
@ionic-native/admob-plus;ionic-native;;
@ionic-native/admob-pro;ionic-native;;
@ionic-native/aes-256;ionic-native;;
@ionic-native/alipay;ionic-native;;
@ionic-native/analytics-firebase;ionic-native;;
@ionic-native/android-exoplayer;ionic-native;;
@ionic-native/android-fingerprint-auth;ionic-native;;
@ionic-native/android-full-screen;ionic-native;;
@ionic-native/android-permissions;ionic-native;;
@ionic-native/anyline;ionic-native;;
@ionic-native/app-availability;ionic-native;;
@ionic-native/app-center-analytics;ionic-native;;
@ionic-native/app-center-crashes;ionic-native;;
@ionic-native/app-center-push;ionic-native;;
@ionic-native/app-launcher;ionic-native;;
@ionic-native/app-minimize;ionic-native;;
@ionic-native/app-preferences;ionic-native;;
@ionic-native/app-rate;ionic-native;;
@ionic-native/app-update;ionic-native;;
@ionic-native/app-version;ionic-native;;
@ionic-native/apple-pay;ionic-native;;
@ionic-native/apple-wallet;ionic-native;;
@ionic-native/appodeal;ionic-native;;
@ionic-native/appsflyer;ionic-native;;
@ionic-native/audio-management;ionic-native;;
@ionic-native/autostart;ionic-native;;
@ionic-native/background-fetch;ionic-native;;
@ionic-native/background-geolocation;ionic-native;;
@ionic-native/background-mode;ionic-native;;
@ionic-native/backlight;ionic-native;;
@ionic-native/badge;ionic-native;;
@ionic-native/baidu-push;ionic-native;;
@ionic-native/barcode-scanner;ionic-native;;
@ionic-native/base64;ionic-native;;
@ionic-native/base64-to-gallery;ionic-native;;
@ionic-native/battery-status;ionic-native;;
@ionic-native/biocatch;ionic-native;;
@ionic-native/biometric-wrapper;ionic-native;;
@ionic-native/ble;ionic-native;;
@ionic-native/blinkid;ionic-native;;
@ionic-native/blinkup;ionic-native;;
@ionic-native/bluetooth-le;ionic-native;;
@ionic-native/bluetooth-serial;ionic-native;;
@ionic-native/braintree;ionic-native;;
@ionic-native/branch-io;ionic-native;;
@ionic-native/brightness;ionic-native;;
@ionic-native/broadcaster;ionic-native;;
@ionic-native/browser-tab;ionic-native;;
@ionic-native/calendar;ionic-native;;
@ionic-native/call-directory;ionic-native;;
@ionic-native/call-log;ionic-native;;
